professional_roles.name;created_at;salary.from;salary.to;employer.name;experience.name
DevOps-инженер;2023-09-25T15:06:36+0300;250000.0;400000.0;Predicto;От 3 до 6 лет
Другое;2023-09-25T11:29:45+0300;250000.0;350000.0;АЙТИ.СПЕЙС;От 3 до 6 лет
Тестировщик;2023-10-01T10:28:01+0300;;;Ozon;От 3 до 6 лет
Программист, разработчик;2023-09-27T18:03:31+0300;;;Ozon;От 3 до 6 лет
DevOps-инженер;2023-09-25T08:20:30+0300;;;Московский Кредитный Банк;От 3 до 6 лет
Программист, разработчик;2023-09-28T11:37:56+0300;;450000.0;Mindbox;От 3 до 6 лет
Дата-сайентист;2023-09-28T10:15:07+0300;;;Группа НЛМК;От 3 до 6 лет
Технический писатель;2023-09-22T09:51:16+0300;150000.0;200000.0;МФТИ;От 1 года до 3 лет
Аналитик;2023-09-26T14:31:57+0300;;;Северсталь;От 3 до 6 лет
Программист, разработчик;2023-09-22T01:12:31+0300;250000.0;;МФТИ;От 3 до 6 лет
Программист, разработчик;2023-09-21T13:30:22+0300;;;СБЕР;От 1 года до 3 лет
Программист, разработчик;2023-09-19T16:05:54+0300;;;ХОУМ Банк;От 3 до 6 лет
Программист, разработчик;2023-09-18T14:33:02+0300;;;ЦИТМ Экспонента;Нет опыта
Финансовый аналитик, инвестиционный аналитик;2023-09-12T13:18:57+0300;;;СБЕР;От 1 года до 3 лет
Программист, разработчик;2023-09-30T13:48:26+0300;;;Цифромед;От 3 до 6 лет
Программист, разработчик;2023-09-22T09:51:15+0300;200000.0;300000.0;МФТИ;От 3 до 6 лет
DevOps-инженер;2023-09-22T09:51:15+0300;250000.0;300000.0;МФТИ;От 3 до 6 лет
Программист, разработчик;2023-09-28T09:44:40+0300;;;СБЕР;От 3 до 6 лет
Программист, разработчик;2023-09-11T07:06:41+0300;250000.0;400000.0;ГИРУС;От 3 до 6 лет
Программист, разработчик;2023-09-21T13:30:26+0300;;;СБЕР;От 3 до 6 лет
Программист, разработчик;2023-09-26T17:07:59+0300;;;WILDBERRIES;От 3 до 6 лет
Дата-сайентист;2023-09-25T14:57:27+0300;;;Hi, Rockits!;От 3 до 6 лет
Программист, разработчик;2023-09-22T15:55:46+0300;;;МТС;От 3 до 6 лет
Программист, разработчик;2023-09-28T20:09:43+0300;300000.0;450000.0;Rubbles;От 3 до 6 лет
Дата-сайентист;2023-09-25T11:40:30+0300;;;Центр Методического Обеспечения Оптимизации Процессов Государственного Управления в Московской области;От 1 года до 3 лет
Дата-сайентист;2023-09-15T15:14:32+0300;;;The Skolkovo Institute of Science and Technology;От 1 года до 3 лет
Программист, разработчик;2023-09-22T14:11:43+0300;;;VK;От 3 до 6 лет
Дата-сайентист;2023-09-26T09:54:28+0300;;;Специализированный депозитарий ИНФИНИТУМ;От 1 года до 3 лет
Дата-сайентист;2023-09-26T10:33:08+0300;6000.0;;AINAUTS LLC;От 3 до 6 лет
Программист, разработчик;2023-09-11T16:29:38+0300;;;Employcity;От 3 до 6 лет
Программист, разработчик;2023-09-11T16:30:34+0300;;;СБЕР;От 1 года до 3 лет
Другое;2023-09-26T16:57:40+0300;;;Lamoda Tech;От 3 до 6 лет
Системный инженер;2023-09-28T16:47:12+0300;;;Группа компаний Астра;От 1 года до 3 лет
Программист, разработчик;2023-09-21T14:54:53+0300;;;GlowByte;От 1 года до 3 лет
Программист, разработчик;2023-10-02T16:00:24+0300;;;СБЕР;От 3 до 6 лет
Аналитик;2023-10-02T12:05:42+0300;;;Weborama Russia;От 1 года до 3 лет
Аналитик;2023-10-02T10:11:51+0300;;;АДВ;От 1 года до 3 лет
Программист, разработчик;2023-10-02T09:53:57+0300;;;Группа Самолет;От 3 до 6 лет
Дата-сайентист;2023-10-02T09:07:33+0300;;;Группа Актион;От 1 года до 3 лет
BI-аналитик, аналитик данных;2023-10-02T12:20:40+0300;;;Эр-1;От 3 до 6 лет
Дата-сайентист;2023-10-02T10:40:41+0300;;;Строительный Двор;От 1 года до 3 лет
Программист, разработчик;2023-10-02T13:33:32+0300;150000.0;;РИГ;От 1 года до 3 лет
Аналитик;2023-10-02T15:30:02+0300;;;Райффайзен Банк;От 1 года до 3 лет
BI-аналитик, аналитик данных;2023-10-02T12:27:31+0300;;;Okko;От 3 до 6 лет
Аналитик;2023-10-02T08:24:40+0300;;;СБЕР;От 1 года до 3 лет
Дата-сайентист;2023-10-01T11:03:28+0300;;;билайн;От 3 до 6 лет
Дата-сайентист;2023-10-02T09:03:32+0300;;;VK;От 3 до 6 лет
Дата-сайентист;2023-10-02T12:22:10+0300;;;Банк ВТБ (ПАО);От 3 до 6 лет
Дата-сайентист;2023-10-02T12:20:44+0300;;;Банк ВТБ (ПАО);От 1 года до 3 лет
Дата-сайентист;2023-10-01T11:56:17+0300;;;ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ;От 3 до 6 лет
Дата-сайентист;2023-10-01T15:14:54+0300;;;Ozon;От 1 года до 3 лет
Дата-сайентист;2023-10-02T12:59:34+0300;;;ГАУ Города Москвы Центр цифровизации образования;От 1 года до 3 лет
Аналитик;2023-10-01T14:33:47+0300;;;JuicyScore;От 3 до 6 лет
