Date,Open
1980-12-12,0.128348
1980-12-15,0.12221
1980-12-16,0.113281
1980-12-17,0.115513
1980-12-18,0.118862
1980-12-19,0.126116
1980-12-22,0.132254
1980-12-23,0.137835
1980-12-24,0.145089
1980-12-26,0.158482
1980-12-29,0.160714
1980-12-30,0.157366
1980-12-31,0.152902
1981-01-02,0.154018
1981-01-05,0.151228
1981-01-06,0.144531
1981-01-07,0.138393
1981-01-08,0.135603
1981-01-09,0.142299
1981-01-12,0.142299
1981-01-13,0.136719
1981-01-14,0.136719
1981-01-15,0.139509
1981-01-16,0.138951
1981-01-19,0.146763
1981-01-20,0.142857
1981-01-21,0.145089
1981-01-22,0.146763
1981-01-23,0.146763
1981-01-26,0.144531
1981-01-27,0.143973
1981-01-28,0.138951
1981-01-29,0.133929
1981-01-30,0.127232
1981-02-02,0.11942
1981-02-03,0.123326
1981-02-04,0.12779
1981-02-05,0.12779
1981-02-06,0.128348
1981-02-09,0.122768
1981-02-10,0.121652
1981-02-11,0.118304
1981-02-12,0.117188
1981-02-13,0.114955
1981-02-17,0.116629
1981-02-18,0.121652
1981-02-19,0.114955
1981-02-20,0.108817
1981-02-23,0.109933
1981-02-24,0.107143
1981-02-25,0.112723
1981-02-26,0.114397
1981-02-27,0.118304
1981-03-02,0.118862
1981-03-03,0.117746
1981-03-04,0.116629
1981-03-05,0.116071
1981-03-06,0.115513
1981-03-09,0.106027
1981-03-10,0.101004
1981-03-11,0.097656
1981-03-12,0.100446
1981-03-13,0.099888
1981-03-16,0.103237
1981-03-17,0.108259
1981-03-18,0.114955
1981-03-19,0.114397
1981-03-20,0.114955
1981-03-23,0.11942
1981-03-24,0.11942
1981-03-25,0.117746
1981-03-26,0.114955
1981-03-27,0.111049
1981-03-30,0.110491
1981-03-31,0.110491
1981-04-01,0.108817
1981-04-02,0.117746
1981-04-03,0.118304
1981-04-06,0.116629
1981-04-07,0.115513
1981-04-08,0.120536
1981-04-09,0.122768
1981-04-10,0.124442
1981-04-13,0.124442
1981-04-14,0.124442
1981-04-15,0.118862
1981-04-16,0.112165
1981-04-20,0.114955
1981-04-21,0.122768
1981-04-22,0.127232
1981-04-23,0.13058
1981-04-24,0.13058
1981-04-27,0.128906
1981-04-28,0.126674
1981-04-29,0.125
1981-04-30,0.126674
1981-05-01,0.126674
1981-05-04,0.126674
1981-05-05,0.126116
1981-05-06,0.122768
1981-05-07,0.123884
1981-05-08,0.125
1981-05-11,0.122768
1981-05-12,0.12221
1981-05-13,0.12221
1981-05-14,0.121094
1981-05-15,0.122768
1981-05-18,0.125
1981-05-19,0.123326
1981-05-20,0.126674
1981-05-21,0.133929
1981-05-22,0.140067
1981-05-26,0.140067
1981-05-27,0.147321
1981-05-28,0.147321
1981-05-29,0.147879
1981-06-01,0.147879
1981-06-02,0.141183
1981-06-03,0.140625
1981-06-04,0.143415
1981-06-05,0.141741
1981-06-08,0.136719
1981-06-09,0.138951
1981-06-10,0.140625
1981-06-11,0.146763
1981-06-12,0.145647
1981-06-15,0.145089
1981-06-16,0.142299
1981-06-17,0.140067
1981-06-18,0.139509
1981-06-19,0.135603
1981-06-22,0.13058
1981-06-23,0.132254
1981-06-24,0.130022
1981-06-25,0.131696
1981-06-26,0.131138
1981-06-29,0.126674
1981-06-30,0.116629
1981-07-01,0.115513
1981-07-02,0.114955
1981-07-06,0.112165
1981-07-07,0.112165
1981-07-08,0.116629
1981-07-09,0.108259
1981-07-10,0.099888
1981-07-13,0.101563
1981-07-14,0.106027
1981-07-15,0.108817
1981-07-16,0.111607
1981-07-17,0.115513
1981-07-20,0.108259
1981-07-21,0.107701
1981-07-22,0.102121
1981-07-23,0.103795
1981-07-24,0.107143
1981-07-27,0.111607
1981-07-28,0.108259
1981-07-29,0.106585
1981-07-30,0.109933
1981-07-31,0.111607
1981-08-03,0.111607
1981-08-04,0.112165
1981-08-05,0.115513
1981-08-06,0.113281
1981-08-07,0.112723
1981-08-10,0.112723
1981-08-11,0.110491
1981-08-12,0.107701
1981-08-13,0.104353
1981-08-14,0.103237
1981-08-17,0.099888
1981-08-18,0.097656
1981-08-19,0.09654
1981-08-20,0.09654
1981-08-21,0.09096
1981-08-24,0.084821
1981-08-25,0.086496
1981-08-26,0.085379
1981-08-27,0.085379
1981-08-28,0.089844
1981-08-31,0.089844
1981-09-01,0.095424
1981-09-02,0.097098
1981-09-03,0.093192
1981-09-04,0.091518
1981-09-08,0.088728
1981-09-09,0.08817
1981-09-10,0.088728
1981-09-11,0.08817
1981-09-14,0.085379
1981-09-15,0.083147
1981-09-16,0.081473
1981-09-17,0.079241
1981-09-18,0.079241
1981-09-21,0.079799
1981-09-22,0.075893
1981-09-23,0.074777
1981-09-24,0.073661
1981-09-25,0.064732
1981-09-28,0.064174
1981-09-29,0.067522
1981-09-30,0.06808
1981-10-01,0.06808
1981-10-02,0.073661
1981-10-05,0.075893
1981-10-06,0.075893
1981-10-07,0.079799
1981-10-08,0.082589
1981-10-09,0.083147
1981-10-12,0.085938
1981-10-13,0.085938
1981-10-14,0.081473
1981-10-15,0.082589
1981-10-16,0.082031
1981-10-19,0.083147
1981-10-20,0.087612
1981-10-21,0.087612
1981-10-22,0.087612
1981-10-23,0.085379
1981-10-26,0.084821
1981-10-27,0.086496
1981-10-28,0.089286
1981-10-29,0.088728
1981-10-30,0.089286
1981-11-02,0.089286
1981-11-03,0.088728
1981-11-04,0.086496
1981-11-05,0.080357
1981-11-06,0.080357
1981-11-09,0.081473
1981-11-10,0.082031
1981-11-11,0.084263
1981-11-12,0.087054
1981-11-13,0.081473
1981-11-16,0.080357
1981-11-17,0.081473
1981-11-18,0.084263
1981-11-19,0.084263
1981-11-20,0.084821
1981-11-23,0.082031
1981-11-24,0.080915
1981-11-25,0.082031
1981-11-27,0.084263
1981-11-30,0.083705
1981-12-01,0.083147
1981-12-02,0.083705
1981-12-03,0.083147
1981-12-04,0.084821
1981-12-07,0.085379
1981-12-08,0.084821
1981-12-09,0.084263
1981-12-10,0.084263
1981-12-11,0.084263
1981-12-14,0.082031
1981-12-15,0.083147
1981-12-16,0.087054
1981-12-17,0.094308
1981-12-18,0.102121
1981-12-21,0.098214
1981-12-22,0.09933
1981-12-23,0.097656
1981-12-24,0.097656
1981-12-28,0.094308
1981-12-29,0.094866
1981-12-30,0.098772
1981-12-31,0.098772
1982-01-04,0.098772
