name,id,u,v,length
Rue Colonel Bellando de Castro,4227214,1074584924,256411950,10.899
Rue Colonel Bellando de Castro,4227214,256411950,25181806,17.097
Quai Antoine 1er,4227216,25191634,25191336,7.624
Quai Antoine 1er,4227216,25191336,25191287,85.801
Quai Antoine 1er,4227216,25191287,1079045385,44.748
Quai Antoine 1er,4227216,1079045385,1738399812,3.663
Quai Antoine 1er,4227216,1738399812,25191338,2.791
Avenue de La Quarantaine,4227230,25191904,4940692939,8.711
Avenue de La Quarantaine,4227230,4940692939,4940692940,8.786
Avenue de La Quarantaine,4227230,4940692940,1573123086,8.752
Avenue de La Quarantaine,4227233,25191508,25191502,15.986
Rascasse,4227241,1737389117,9310886077,2.867
Rascasse,4227241,9310886077,9310886078,2.3
Rascasse,4227241,9310886078,9310886079,2.429
Rascasse,4227241,9310886079,11412508753,2.364
Rascasse,4227241,11412508753,25192033,3.206
Rascasse,4227241,25192033,477618046,4.194
Tunnel Rocher Palais,4227242,25192216,6340961552,6.136
Tunnel Rocher Palais,4227242,6340961552,1790048584,8.026
Tunnel Rocher Palais,4227242,1790048584,25192219,4.55
Tunnel Rocher Palais,4227242,25192219,6340961553,5.294
Tunnel Rocher Palais,4227242,6340961553,25192221,5.09
Tunnel Rocher Palais,4227242,25192221,9310886064,4.674
Tunnel Rocher Palais,4227242,9310886064,25192226,5.108
Tunnel Rocher Palais,4227242,25192226,1737389120,3.894
Tunnel Rocher Palais,4227242,1737389120,1737389121,6.847
Tunnel Rocher Palais,4227242,1737389121,25192229,6.082
Tunnel Rocher Palais,4227242,25192229,1737389124,7.739
Tunnel Rocher Palais,4227242,1737389124,1737389126,14.152
Tunnel Rocher Palais,4227242,1737389126,1737389128,10.835
Tunnel Rocher Palais,4227242,1737389128,1737389129,5.271
Tunnel Rocher Palais,4227242,1737389129,3883559108,11.333
Tunnel Rocher Palais,4227242,3883559108,10665602344,4.237
Tunnel Rocher Palais,4227242,10665602344,1074585009,9.014
Rue de Millo,4227248,25194260,252362639,80.405
Rue de Millo,4227248,252362639,25194196,14.596
Rue Louis Notari,4227253,4058432473,4058432482,14.204
Avenue d'Ostende,4227272,1690130866,1738360321,24.781
Avenue d'Ostende,4227272,1738360321,1738360319,7.767
Rond-Point Sainte-Dévote,4227273,6444966511,3883559147,4.34
Rond-Point Sainte-Dévote,4227273,3883559147,1738360184,6.814
Rond-Point Sainte-Dévote,4227273,1738360184,1738360227,2.971
Rond-Point Sainte-Dévote,4227273,1738360227,6485591429,1.698
Rond-Point Sainte-Dévote,4227273,6485591429,1726583874,2.121
Rond-Point Sainte-Dévote,4227273,1726583874,1738360234,2.179
Rond-Point Sainte-Dévote,4227273,1738360234,1690130853,2.489
Rond-Point Sainte-Dévote,4227273,1690130853,1738360238,1.741
Rond-Point Sainte-Dévote,4227273,1738360238,25193385,2.174
Rond-Point Sainte-Dévote,4227273,25193385,1738360250,1.813
